id,season,team1,team2,result,target,team2_score,balls_30,team2_30_rn,team2_30_wk,team2_30_ach,balls_60,team2_60_rn,team2_60_wk,team2_60_ach,balls_90,team2_90_rn,team2_90_wk,team2_90_ach,dl_applied,winner,win_by_runs,win_by_wickets,team2_win
174,2009,Deccan Chargers,Royal Challengers Bangalore,normal,,,90,,,,60,,,,30,,,,0,Deccan Chargers,6,0,
175,2010,Kolkata Knight Riders,Deccan Chargers,normal,,,90,,,,60,,,,30,,,,0,Kolkata Knight Riders,11,0,
176,2010,Mumbai Indians,Rajasthan Royals,normal,,,90,,,,60,,,,30,,,,0,Mumbai Indians,4,0,
177,2010,Kings XI Punjab,Delhi Daredevils,normal,,,90,,,,60,,,,30,,,,0,Delhi Daredevils,0,5,
178,2010,Royal Challengers Bangalore,Kolkata Knight Riders,normal,,,90,,,,60,,,,30,,,,0,Kolkata Knight Riders,0,7,
179,2010,Deccan Chargers,Chennai Super Kings,normal,,,90,,,,60,,,,30,,,,0,Deccan Chargers,31,0,
180,2010,Rajasthan Royals,Delhi Daredevils,normal,,,90,,,,60,,,,30,,,,0,Delhi Daredevils,0,6,
181,2010,Kings XI Punjab,Royal Challengers Bangalore,normal,,,90,,,,60,,,,30,,,,0,Royal Challengers Bangalore,0,8,
182,2010,Chennai Super Kings,Kolkata Knight Riders,normal,,,90,,,,60,,,,30,,,,0,Chennai Super Kings,55,0,
183,2010,Mumbai Indians,Delhi Daredevils,normal,,,90,,,,60,,,,30,,,,0,Mumbai Indians,98,0,
184,2010,Rajasthan Royals,Royal Challengers Bangalore,normal,,,90,,,,60,,,,30,,,,0,Royal Challengers Bangalore,0,10,
185,2010,Delhi Daredevils,Chennai Super Kings,normal,,,90,,,,60,,,,30,,,,0,Chennai Super Kings,0,5,
186,2010,Deccan Chargers,Kings XI Punjab,normal,,,90,,,,60,,,,30,,,,0,Deccan Chargers,6,0,
187,2010,Rajasthan Royals,Kolkata Knight Riders,normal,,,90,,,,60,,,,30,,,,0,Rajasthan Royals,34,0,
188,2010,Mumbai Indians,Royal Challengers Bangalore,normal,,,90,,,,60,,,,30,,,,0,Royal Challengers Bangalore,0,7,
189,2010,Deccan Chargers,Delhi Daredevils,normal,,,90,,,,60,,,,30,,,,0,Deccan Chargers,10,0,
190,2010,Kings XI Punjab,Chennai Super Kings,tie,,,90,,,,60,,,,30,,,,0,Kings XI Punjab,0,0,
191,2010,Kolkata Knight Riders,Mumbai Indians,normal,,,90,,,,60,,,,30,,,,0,Mumbai Indians,0,7,
192,2010,Royal Challengers Bangalore,Chennai Super Kings,normal,,,90,,,,60,,,,30,,,,0,Royal Challengers Bangalore,36,0,
193,2010,Rajasthan Royals,Kings XI Punjab,normal,,,90,,,,60,,,,30,,,,0,Rajasthan Royals,31,0,
194,2010,Chennai Super Kings,Mumbai Indians,normal,,,90,,,,60,,,,30,,,,0,Mumbai Indians,0,5,
195,2010,Deccan Chargers,Rajasthan Royals,normal,,,90,,,,60,,,,30,,,,0,Rajasthan Royals,0,8,
196,2010,Kolkata Knight Riders,Kings XI Punjab,normal,,,90,,,,60,,,,30,,,,0,Kolkata Knight Riders,39,0,
197,2010,Delhi Daredevils,Royal Challengers Bangalore,normal,,,90,,,,60,,,,30,,,,0,Delhi Daredevils,17,0,
198,2010,Rajasthan Royals,Chennai Super Kings,normal,,,90,,,,60,,,,30,,,,0,Rajasthan Royals,17,0,
199,2010,Mumbai Indians,Deccan Chargers,normal,,,90,,,,60,,,,30,,,,0,Mumbai Indians,41,0,
200,2010,Delhi Daredevils,Kolkata Knight Riders,normal,,,90,,,,60,,,,30,,,,0,Delhi Daredevils,40,0,
201,2010,Kings XI Punjab,Mumbai Indians,normal,,,90,,,,60,,,,30,,,,0,Mumbai Indians,0,4,
202,2010,Royal Challengers Bangalore,Chennai Super Kings,normal,,,90,,,,60,,,,30,,,,0,Chennai Super Kings,0,5,
203,2010,Delhi Daredevils,Rajasthan Royals,normal,,,90,,,,60,,,,30,,,,0,Delhi Daredevils,67,0,
204,2010,Kolkata Knight Riders,Deccan Chargers,normal,,,90,,,,60,,,,30,,,,0,Kolkata Knight Riders,24,0,
205,2010,Kings XI Punjab,Royal Challengers Bangalore,normal,,,90,,,,60,,,,30,,,,0,Royal Challengers Bangalore,0,6,
206,2010,Chennai Super Kings,Rajasthan Royals,normal,,,90,,,,60,,,,30,,,,0,Chennai Super Kings,23,0,
207,2010,Mumbai Indians,Deccan Chargers,normal,,,90,,,,60,,,,30,,,,0,Mumbai Indians,63,0,
208,2010,Kolkata Knight Riders,Kings XI Punjab,normal,,,90,,,,60,,,,30,,,,0,Kings XI Punjab,0,8,
